time_s,Tj_K,Zth_KW
0.0299,308.3300,0.416500
0.0300,308.3370,0.416850
0.0301,308.3450,0.417250
0.0302,308.3520,0.417600
0.0303,308.3600,0.418000
0.0304,308.3670,0.418350
0.0305,308.3740,0.418700
0.0306,308.3820,0.419100
0.0307,308.3890,0.419450
0.0308,308.3960,0.419800
0.0309,308.4030,0.420150
0.0310,308.4100,0.420500
0.0311,308.4180,0.420900
0.0312,308.4250,0.421250
0.0313,308.4320,0.421600
0.0314,308.4390,0.421950
0.0315,308.4460,0.422300
0.0316,308.4530,0.422650
0.0317,308.4590,0.422950
0.0318,308.4660,0.423300
0.0319,308.4730,0.423650
0.0320,308.4800,0.424000
0.0321,308.4870,0.424350
0.0322,308.4940,0.424700
0.0323,308.5000,0.425000
0.0324,308.5070,0.425350
0.0325,308.5140,0.425700
0.0326,308.5200,0.426000
0.0327,308.5270,0.426350
0.0328,308.5330,0.426650
0.0329,308.5400,0.427000
0.0330,308.5460,0.427300
0.0331,308.5530,0.427650
0.0332,308.5590,0.427950
0.0333,308.5660,0.428300
0.0334,308.5720,0.428600
0.0335,308.5780,0.428900
0.0336,308.5850,0.429250
0.0337,308.5910,0.429550
0.0338,308.5970,0.429850
0.0339,308.6030,0.430150
0.0340,308.6100,0.430500
0.0341,308.6160,0.430800
0.0342,308.6220,0.431100
0.0343,308.6280,0.431400
0.0344,308.6340,0.431700
0.0345,308.6400,0.432000
0.0346,308.6460,0.432300
0.0347,308.6520,0.432600
0.0348,308.6580,0.432900
0.0349,308.6640,0.433200
0.0350,308.6700,0.433500
0.0351,308.6760,0.433800
0.0352,308.6820,0.434100
0.0353,308.6880,0.434400
0.0354,308.6940,0.434700
0.0355,308.7000,0.435000
0.0356,308.7050,0.435250
0.0357,308.7110,0.435550
0.0358,308.7170,0.435850
0.0359,308.7230,0.436150
0.0360,308.7280,0.436400
0.0361,308.7340,0.436700
0.0362,308.7400,0.437000
0.0363,308.7450,0.437250
0.0364,308.7510,0.437550
0.0365,308.7560,0.437800
0.0366,308.7620,0.438100
0.0367,308.7670,0.438350
0.0368,308.7730,0.438650
0.0369,308.7780,0.438900
0.0370,308.7840,0.439200
0.0371,308.7890,0.439450
0.0372,308.7950,0.439750
0.0373,308.8000,0.440000
0.0374,308.8050,0.440250
0.0375,308.8110,0.440550
0.0376,308.8160,0.440800
0.0377,308.8210,0.441050
0.0378,308.8260,0.441300
0.0379,308.8320,0.441600
0.0380,308.8370,0.441850
0.0381,308.8420,0.442100
0.0382,308.8470,0.442350
0.0383,308.8520,0.442600
0.0384,308.8570,0.442850
0.0385,308.8630,0.443150
0.0386,308.8680,0.443400
0.0387,308.8730,0.443650
0.0388,308.8780,0.443900
0.0389,308.8830,0.444150
0.0390,308.8880,0.444400
0.0391,308.8930,0.444650
0.0392,308.8980,0.444900
0.0393,308.9030,0.445150
0.0394,308.9080,0.445400
0.0395,308.9120,0.445600
0.0396,308.9170,0.445850
0.0397,308.9220,0.446100
0.0398,308.9270,0.446350
0.0399,308.9320,0.446600
0.0400,308.9370,0.446850
0.0401,308.9420,0.447100
0.0402,308.9460,0.447300
0.0403,308.9510,0.447550
0.0404,308.9560,0.447800
0.0405,308.9600,0.448000
0.0406,308.9650,0.448250
0.0407,308.9700,0.448500
0.0408,308.9740,0.448700
0.0409,308.9790,0.448950
0.0410,308.9830,0.449150
0.0411,308.9880,0.449400
0.0412,308.9930,0.449650
0.0413,308.9970,0.449850
0.0414,309.0020,0.450100
0.0415,309.0060,0.450300
0.0416,309.0110,0.450550
0.0417,309.0150,0.450750
0.0418,309.0200,0.451000
0.0419,309.0240,0.451200
0.0420,309.0290,0.451450
0.0421,309.0330,0.451650
0.0422,309.0380,0.451900
0.0423,309.0420,0.452100
0.0424,309.0460,0.452300
0.0425,309.0510,0.452550
0.0426,309.0550,0.452750
0.0427,309.0590,0.452950
0.0428,309.0640,0.453200
0.0429,309.0680,0.453400
0.0430,309.0720,0.453600
0.0431,309.0760,0.453800
0.0432,309.0810,0.454050
0.0433,309.0850,0.454250
0.0434,309.0890,0.454450
0.0435,309.0930,0.454650
0.0436,309.0970,0.454850
0.0437,309.1020,0.455100
0.0438,309.1060,0.455300
0.0439,309.1100,0.455500
0.0440,309.1140,0.455700
0.0441,309.1180,0.455900
0.0442,309.1220,0.456100
0.0443,309.1260,0.456300
