time_s,Tj_K,Zth_KW
0.0595,313.6830,0.684150
0.0596,313.6910,0.684550
0.0597,313.6990,0.684950
0.0598,313.7060,0.685300
0.0599,313.7140,0.685700
0.0600,313.7210,0.686050
0.0601,313.7290,0.686450
0.0602,313.7360,0.686800
0.0603,313.7440,0.687200
0.0604,313.7510,0.687550
0.0605,313.7590,0.687950
0.0606,313.7660,0.688300
0.0607,313.7740,0.688700
0.0608,313.7810,0.689050
0.0609,313.7880,0.689400
0.0610,313.7960,0.689800
0.0611,313.8030,0.690150
0.0612,313.8110,0.690550
0.0613,313.8180,0.690900
0.0614,313.8250,0.691250
0.0615,313.8320,0.691600
0.0616,313.8400,0.692000
0.0617,313.8470,0.692350
0.0618,313.8540,0.692700
0.0619,313.8610,0.693050
0.0620,313.8690,0.693450
0.0621,313.8760,0.693800
0.0622,313.8830,0.694150
0.0623,313.8900,0.694500
0.0624,313.8980,0.694900
0.0625,313.9050,0.695250
0.0626,313.9120,0.695600
0.0627,313.9190,0.695950
0.0628,313.9260,0.696300
0.0629,313.9330,0.696650
0.0630,313.9400,0.697000
0.0631,313.9470,0.697350
0.0632,313.9540,0.697700
0.0633,313.9610,0.698050
0.0634,313.9680,0.698400
0.0635,313.9750,0.698750
0.0636,313.9820,0.699100
0.0637,313.9890,0.699450
0.0638,313.9960,0.699800
0.0639,314.0030,0.700150
0.0640,314.0100,0.700500
0.0641,314.0170,0.700850
0.0642,314.0240,0.701200
0.0643,314.0310,0.701550
0.0644,314.0380,0.701900
0.0645,314.0450,0.702250
0.0646,314.0510,0.702550
0.0647,314.0580,0.702900
0.0648,314.0650,0.703250
0.0649,314.0720,0.703600
0.0650,314.0780,0.703900
0.0651,314.0850,0.704250
0.0652,314.0920,0.704600
0.0653,314.0990,0.704950
0.0654,314.1060,0.705300
0.0655,314.1120,0.705600
0.0656,314.1190,0.705950
0.0657,314.1260,0.706300
0.0658,314.1320,0.706600
0.0659,314.1390,0.706950
0.0660,314.1450,0.707250
0.0661,314.1520,0.707600
0.0662,314.1590,0.707950
0.0663,314.1660,0.708300
0.0664,314.1720,0.708600
0.0665,314.1790,0.708950
0.0666,314.1850,0.709250
0.0667,314.1920,0.709600
0.0668,314.1980,0.709900
0.0669,314.2050,0.710250
0.0670,314.2110,0.710550
0.0671,314.2180,0.710900
0.0672,314.2240,0.711200
0.0673,314.2310,0.711550
0.0674,314.2370,0.711850
0.0675,314.2440,0.712200
0.0676,314.2500,0.712500
0.0677,314.2560,0.712800
0.0678,314.2630,0.713150
0.0679,314.2690,0.713450
0.0680,314.2760,0.713800
0.0681,314.2820,0.714100
0.0682,314.2880,0.714400
0.0683,314.2950,0.714750
0.0684,314.3010,0.715050
0.0685,314.3070,0.715350
0.0686,314.3140,0.715700
0.0687,314.3200,0.716000
0.0688,314.3260,0.716300
0.0689,314.3320,0.716600
0.0690,314.3390,0.716950
0.0691,314.3450,0.717250
0.0692,314.3510,0.717550
0.0693,314.3570,0.717850
0.0694,314.3640,0.718200
0.0695,314.3700,0.718500
0.0696,314.3760,0.718800
0.0697,314.3820,0.719100
0.0698,314.3880,0.719400
0.0699,314.3940,0.719700
0.0700,314.4000,0.720000
0.0701,314.4070,0.720350
0.0702,314.4130,0.720650
0.0703,314.4190,0.720950
0.0704,314.4250,0.721250
0.0705,314.4310,0.721550
0.0706,314.4370,0.721850
0.0707,314.4430,0.722150
0.0708,314.4490,0.722450
0.0709,314.4550,0.722750
0.0710,314.4610,0.723050
0.0711,314.4670,0.723350
0.0712,314.4730,0.723650
0.0713,314.4790,0.723950
0.0714,314.4850,0.724250
0.0715,314.4910,0.724550
0.0716,314.4970,0.724850
0.0717,314.5030,0.725150
0.0718,314.5090,0.725450
0.0719,314.5140,0.725700
0.0720,314.5200,0.726000
0.0721,314.5260,0.726300
0.0722,314.5320,0.726600
0.0723,314.5380,0.726900
0.0724,314.5440,0.727200
0.0725,314.5500,0.727500
0.0726,314.5550,0.727750
0.0727,314.5610,0.728050
0.0728,314.5670,0.728350
0.0729,314.5730,0.728650
0.0730,314.5780,0.728900
0.0731,314.5840,0.729200
0.0732,314.5900,0.729500
0.0733,314.5960,0.729800
0.0734,314.6020,0.730100
0.0735,314.6070,0.730350
0.0736,314.6130,0.730650
0.0737,314.6190,0.730950
0.0738,314.6240,0.731200
0.0739,314.6300,0.731500
0.0740,314.6350,0.731750
0.0741,314.6410,0.732050
0.0742,314.6470,0.732350
0.0743,314.6530,0.732650
0.0744,314.6580,0.732900
0.0745,314.6640,0.733200
0.0746,314.6690,0.733450
0.0747,314.6750,0.733750
