time_s,Tj_K,Zth_KW
0.0508,307.5100,0.375500
0.0509,307.5120,0.375600
0.0510,307.5150,0.375750
0.0511,307.5170,0.375850
0.0512,307.5190,0.375950
0.0513,307.5210,0.376050
0.0514,307.5230,0.376150
0.0515,307.5250,0.376250
0.0516,307.5270,0.376350
0.0517,307.5290,0.376450
0.0518,307.5310,0.376550
0.0519,307.5330,0.376650
0.0520,307.5360,0.376800
0.0521,307.5380,0.376900
0.0522,307.5400,0.377000
0.0523,307.5420,0.377100
0.0524,307.5440,0.377200
0.0525,307.5460,0.377300
0.0526,307.5480,0.377400
0.0527,307.5500,0.377500
0.0528,307.5520,0.377600
0.0529,307.5540,0.377700
0.0530,307.5560,0.377800
0.0531,307.5580,0.377900
0.0532,307.5600,0.378000
0.0533,307.5620,0.378100
0.0534,307.5640,0.378200
0.0535,307.5660,0.378300
0.0536,307.5680,0.378400
0.0537,307.5700,0.378500
0.0538,307.5720,0.378600
0.0539,307.5740,0.378700
0.0540,307.5760,0.378800
0.0541,307.5780,0.378900
0.0542,307.5800,0.379000
0.0543,307.5820,0.379100
0.0544,307.5840,0.379200
0.0545,307.5860,0.379300
0.0546,307.5880,0.379400
0.0547,307.5900,0.379500
0.0548,307.5920,0.379600
0.0549,307.5940,0.379700
0.0550,307.5960,0.379800
0.0551,307.5980,0.379900
0.0552,307.6000,0.380000
0.0553,307.6020,0.380100
0.0554,307.6030,0.380150
0.0555,307.6050,0.380250
0.0556,307.6070,0.380350
0.0557,307.6090,0.380450
0.0558,307.6110,0.380550
0.0559,307.6130,0.380650
0.0560,307.6150,0.380750
0.0561,307.6170,0.380850
0.0562,307.6190,0.380950
0.0563,307.6200,0.381000
0.0564,307.6220,0.381100
0.0565,307.6240,0.381200
0.0566,307.6260,0.381300
0.0567,307.6280,0.381400
0.0568,307.6300,0.381500
0.0569,307.6320,0.381600
0.0570,307.6330,0.381650
0.0571,307.6350,0.381750
0.0572,307.6370,0.381850
0.0573,307.6390,0.381950
0.0574,307.6410,0.382050
0.0575,307.6430,0.382150
0.0576,307.6450,0.382250
0.0577,307.6460,0.382300
0.0578,307.6480,0.382400
0.0579,307.6500,0.382500
0.0580,307.6520,0.382600
0.0581,307.6540,0.382700
0.0582,307.6550,0.382750
0.0583,307.6570,0.382850
0.0584,307.6590,0.382950
0.0585,307.6610,0.383050
0.0586,307.6630,0.383150
0.0587,307.6640,0.383200
0.0588,307.6660,0.383300
0.0589,307.6680,0.383400
0.0590,307.6700,0.383500
0.0591,307.6710,0.383550
0.0592,307.6730,0.383650
0.0593,307.6750,0.383750
0.0594,307.6770,0.383850
0.0595,307.6780,0.383900
0.0596,307.6800,0.384000
0.0597,307.6820,0.384100
0.0598,307.6840,0.384200
0.0599,307.6850,0.384250
0.0600,307.6870,0.384350
0.0601,307.6890,0.384450
0.0602,307.6910,0.384550
0.0603,307.6920,0.384600
0.0604,307.6940,0.384700
